id,city,state_abbrev,state,capital,lat,lng,population,density,timezone,zips
1840027142,Boise,ID,Idaho,state,43.6005,-116.2308,449776,1072.4,America/Boise,83703 83702 83706 83705 83704 83709 83712 83716 83713 83725 83720 83701 83708 83715 83717 83722 83724 83728 83729 83735 83756 83799
1840001383,Trenton,NJ,New Jersey,state,40.2237,-74.7641,362179,4571.3,America/New_York,08638 08611 08618 08629 08609 08608 08601 08603 08604 08605 08607 08625 08645 08646 08647 08666 08695
1840013305,Honolulu,HI,Hawaii,state,21.3294,-157.846,348547,2219.9,Pacific/Honolulu,96859 96858 96850 96819 96820 96822 96826 96813 96815 96814 96817 96816 96818 96848 96801 96802 96803 96804 96805 96806 96807 96808 96809 96810 96811 96812 96823 96828 96830 96836 96837 96838 96839 96840 96841 96843 96844 96846 96847 96849 96898
1840014895,Jackson,MS,Mississippi,state,32.3157,-90.2125,335171,529.9,America/Chicago,39272 39206 39204 39203 39202 39201 39209 39269 39174 39210 39211 39212 39213 39216 39217 39060 39205 39207 39215 39225 39236 39250 39271 39282 39283 39284 39286 39289 39296 39298
1840003102,Lansing,MI,Michigan,state,42.7142,-84.5601,322561,1114.5,America/Detroit,48912 48933 48915 48911 48910 48906 48901 48909 48916 48919 48922 48924 48929 48930 48937 48951 48956
1840008940,St. Paul,MN,Minnesota,state,44.9478,-93.1039,308806,2294.1,America/Chicago,55114 55117 55116 55119 55130 55101 55155 55102 55103 55106 55107 55104 55105 55108 55131 55133 55144 55145 55146 55164 55170
1840009357,Lincoln,NE,Nebraska,state,40.8099,-96.6784,290531,1132.1,America/Chicago,68528 68524 68526 68520 68521 68522 68514 68516 68510 68512 68506 68507 68504 68505 68502 68503 68508 68588 68509 68529 68542 68544 68583
1840021224,Salem,OR,Oregon,state,44.9233,-123.0244,266420,1387.5,America/Los_Angeles,97302 97301 97306 97304 97310 97317 97309 97311 97312 97314
1840015913,Tallahassee,FL,Florida,state,30.4551,-84.2527,258696,751.3,America/New_York,32310 32312 32313 32399 32307 32306 32304 32303 32301 32309 32308 32311 32302 32314 32315 32316
1840008353,Montgomery,AL,Alabama,state,32.3482,-86.2668,251158,482.6,America/Chicago,36112 36113 36110 36111 36116 36114 36115 36109 36130 36117 36101 36105 36104 36107 36106 36057 36108 36118 36120 36121 36123 36124 36125 36131 36132 36135 36140 36141 36142 36177 36191
